Issue,Category,Status,Action,PR References,Session,Notes
283,Documentation,,,#745,,
284,Documentation,,,#278,,
291,Architecture,,,#301,,
292,Architecture,,,#1153;#1162;#310,,
293,Architecture,,,#301;#310,,
297,Architecture,,,#331,,
298,Architecture,,,#816,,
299,Architecture,,,#334;#301,,
300,Architecture,,,#386;#301;#606,,
303,Feature,,,#280,,
307,Code Quality,,,#248,,
308,Code Quality,,,#1026,,
309,Code Quality,,,#385;#745;#128;#137,,
313,Feature,,,#386,,
314,Feature,,,#45,,
316,Code Quality,,,#1108,,
317,Feature,,,#816;#319,,
318,Feature,,,#278;#319,,
323,Code Quality,,,#1107,,
324,Code Quality,,,#275,,
325,Testing,,,#745,,
326,Code Quality,,,#1219,,
328,Code Quality,,,#275,,
341,Code Quality,,,#1234;#745,,
343,Code Quality,,,#373,,
344,Security,,,#280,,
345,Feature,,,#1227,,
347,Feature,,,#373,,
365,Code Quality,,,#229,,
377,Feature,,,#378,,
380,Security,,,#45,,
387,Code Quality,,,#640;#248,,
393,Code Quality,,,#278,,
394,Testing,,,#278,,
403,Feature,,,#846;#234,,
409,Code Quality,,,#954;#958;#1001;#962;#959,,
420,Testing,,,#433,,
426,Feature,,,#800,,
428,Feature,,,#209,,
446,Testing,,,#278,,
453,Code Quality,,,#640,,
487,Testing,,,#181,,
488,Code Quality,,,#275,,
498,Code Quality,,,#1229;#508;#552,,
499,Code Quality,,,#1008;#1007,,
500,Code Quality,,,#1229;#1251;#1249;#442;#596,,
505,Code Quality,,,#1251,,
509,Code Quality,,,#511,,
512,Code Quality,,,#1251;#611,,
521,Feature,,,#1072;#525,,
522,Feature,,,#525,,
523,Feature,,,#641;#525,,
528,Feature,,,#532;#474;#472,,
530,Feature,,,#532,,
531,Feature,,,#1212;#532,,
533,Feature,,,#535,,
546,Feature,,,#630,,
567,Testing,,,#569,,
571,Testing,,,#132,,
579,Testing,,,#222,,
589,Code Quality,,,#224,,
592,Code Quality,,,#593,,
598,Testing,,,#132,,
600,Feature,,,#605;#442;#597,,
602,Code Quality,,,#605,,
603,Code Quality,,,#605,,
610,Code Quality,,,#611,,
613,Code Quality,,,#614,,
617,Code Quality,,,#593,,
628,Documentation,,,#630,,
629,Testing,,,#662,,
632,Feature,,,#634,,
633,Feature,,,#637;#597,,
642,Code Quality,,,#646;#593,,
643,Code Quality,,,#646,,
644,Code Quality,,,#1207;#646,,
647,Code Quality,,,#934,,
651,Code Quality,,,#637,,
652,Code Quality,,,#1207,,
653,Code Quality,,,#637,,
658,Code Quality,,,#934,,
661,Code Quality,,,#132;#331;#662,,
663,Testing,,,#677;#689;#672;#671,,
666,Code Quality,,,#672;#671,,
667,Code Quality,,,#671,,
668,Code Quality,,,#593,,
669,Code Quality,,,#676;#672;#671,,
670,Testing,,,#672;#671;#132,,
680,Testing,,,#689,,
681,Testing,,,#700,,
695,Code Quality,,,#228,,
696,Code Quality,,,#228;#225,,
698,Testing,,,#132,,
707,Feature,,,#1197,,
709,Feature,,,#1197,,
713,Feature,,,#278,,
715,Testing,,,#724,,
717,Testing,,,#916;#132,,
723,Testing,,,#724,,
737,Testing,,,#1218,,
738,Feature,,,#729,,
739,Feature,,,#597,,
749,Documentation,,,#750;#278,,
799,Testing,,,#940,,
809,Testing,,,#812,,
811,Feature,,,#19,,
912,Testing,,,#1243,,
922,Feature,,,#942,,
933,Testing,,,#1199,,
936,Infrastructure,,,#942,,
937,Code Quality,,,#942,,
970,Feature,,,#1199,,
972,Architecture,,,#980,,
973,Architecture,,,#980;#942,,
979,Architecture,,,#980,,
983,Feature,,,#597,,
985,Feature,,,#991,,
1083,Architecture,,,#1093;#1091,,
1085,Architecture,,,#1091,,
1087,Architecture,,,#1091,,
1090,Feature,,,#798,,
1101,Testing,,,#1106,,
1112,Testing,,,#1115;#1114,,
1113,Testing,,,#1115;#1114,,
1120,Code Quality,,,#1133;#1125,,
1122,Code Quality,,,#1137;#1135;#1133;#1125,,
1123,Code Quality,,,#1138;#1135;#1137;#1133;#1125,,
1128,Code Quality,,,#798,,
1131,Testing,,,#1134,,
1132,Testing,,,#1134,,
1150,Code Quality,,,#1153;#1155;#1154,,
1165,Code Quality,,,#1233;#1234,,
1169,Code Quality,,,#1187;#1186;#1185,,
1192,Code Quality,,,#1193,,
1240,Feature,,,#1248,,
